SMILES,batch,Complexity,Ered_ag,syba_score
CCCN1c2cc3nsnc3c(C)c2N(C)C1OC,sample,8,-2.64,0.7128887059074475
CCCCOc1c2c(cc3nsnc13)N(C)C(OC)N2C,sample,8,-2.66,15.261107759330944
CCCN1CN(C)c2c1cc1nsnc1c2N(CC)CC,sample,7,-2.8,9.22292947804499
CCN(C)c1c2c(cc3nsnc13)N(CC)CN2CCOC,sample,8,-2.77,17.036017608343332
CCCN1CCN(CCOC)c2cc3nsnc3c(CC)c21,sample,7,-2.57,28.09724249023267
CCCCOCCN1CN(C(C)C)c2cc3nsnc3cc21,sample,5,-2.75,44.78079252543042
CCCOCCN1CN(C(C)CC)c2cc3nsnc3cc21,sample,5,-2.75,27.788604672820632
CCOCCN1CN(C)c2c1cc1nsnc1c2N(C)C,sample,8,-2.74,16.041399931274444
CCC(C)N(C)c1c2c(cc3nsnc13)N(C)CN2CC,sample,7,-2.75,5.987944424315103
CCCN1CN(CCOCC(C)C)c2cc3nsnc3cc21,sample,5,-2.81,31.959886818909393
CCCCOc1c2c(cc3nsnc13)N(CC)CN2CCC,sample,6,-2.71,20.4704843217279
CCCOCCN1CN(CC(C)C)c2cc3nsnc3cc21,sample,5,-2.7,31.28046838733805
CCCN1CN(C(C)C)c2cc3nsnc3c(N(C)CC)c21,sample,7,-2.79,15.518119638891722
CCCN1CN(CC)c2cc3nsnc3c(N(C)CC)c21,sample,7,-2.79,8.840706620204456
CCOCCc1c2c(cc3nsnc13)N(C)CN2C(C)C,sample,7,-2.69,18.433499200918742
COCCN1CN(C)c2c1cc1nsnc1c2N(C)C,sample,8,-2.74,16.14278432344815
CCN(CC)c1c2c(cc3nsnc13)N(C)CN2C,sample,7,-2.74,5.342865074128294
CCCN1CCN(CCC)c2c1c(C(C)C)cc1nsnc21,sample,5,-2.5,18.396794685873477
CCCN1CCN(CCOCC)c2cc3nsnc3c(C)c21,sample,7,-2.6,24.65750642769063
CCC(C)OCCN1CN(C)c2cc3nsnc3cc21,sample,5,-2.74,20.584206392247562
CCN(C)c1c2c(cc3nsnc13)N(CC)CN2CC,sample,7,-2.78,6.649856008327861
CCCCOCCN1CN(C)c2cc3nsnc3cc21,sample,5,-2.72,36.74914451536545
CCOCCOCCN1CCOc2c1ccc1nsnc21,sample,4,-2.36,55.89994670431208
CCOCCN1CN(CC)c2cc3nsnc3cc21,sample,5,-2.76,18.443114496446565
