SMILES,Complexity,syba_score
CC/C([O-])=[N+](\c1c(N(C)CC)cc(C)c2nsnc12)C(C)C,8,35.077115079211495
COc1cc2c(c3nsnc13)CCCC2,4,28.186861014521863
CC(C)CN1CCN(C)c2c1cc1nsnc1c2OC(C)C,6,24.38597179510408
CCOc1cc(C)c2nsnc2c1NCC(C)C,6,47.226667671185524
CCC(C)Oc1cc(N(C)CC(C)C)c2nsnc2c1OC,7,46.73731875139649
CC1CC([O-])=[NH+]c2c1c1c(c3nsnc23)COCC1,5,-16.58185570148105
CCN(C)c1cc2nsnc2c2c1CC(C)N2,5,-3.174463653672765
CC1Cc2c(c3c(c4nsnc24)[NH+]=C([O-])CC3)N(C)C1,5,-9.367873196750129
CCCOCCN(CCC)c1cc(C)c2nsnc2c1,6,52.68649804010565
CCCc1cc2nsnc2cc1N(CC)C(C)C,5,39.3680390296029
CCOc1cc2nsnc2c(/[N+](=C(\C)[O-])C(C)C)c1C,7,31.262271302132493
CCCN1CCOc2cc(N(C)C(C)CC)c3nsnc3c21,5,26.908285724122397
CCc1c(OC)cc2nsnc2c1NCC(C)C,6,45.56369259062291
CCN1CCOc2c1cc1nsnc1c2N(CC)C(C)C,5,18.256486993486178
CCN(C)c1cc(CC(C)C)c(OC(C)=O)c2nsnc12,7,40.35830649741171
CCC1COc2c3c(c4nsnc4c2O1)C(C)CC3,4,-16.223706889900157
CCCCc1cc(C)c(/[N+](CC)=C(/[O-])CC)c2nsnc12,7,31.430152832763824
CCCCOCCc1cc2nsnc2cc1OCC,5,65.95636887995713
CN1CCc2ccc3nsnc3c21,3,10.725959823019686
CCC1COc2c3c(c4nsnc4c21)N(C(C)CC)CCO3,4,-11.805981823756614
CC[N+]1=C([O-])Cc2cc(OC)c3nsnc3c21,5,14.892098444309106
COCCN(C)c1c(C)cc2nsnc2c1OC,8,38.09998317263781
CCC1Oc2cc3nsnc3cc2OC1CCN(C)C,5,3.2561406468094423
C[N+]1=C([O-])CCc2c3c(c4nsnc4c21)CCO3,5,-3.020884975042819
CCCOc1c(C(C)CC)cc2nsnc2c1CC,6,33.80422806944782
CC(C)N1CCCc2c3c(c4nsnc4c21)OCCN3C,5,6.610235931183048
