batch,Iteration,SMILES,Ered,syba_score
initial,0,CCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.51,13.864102202763672
initial,1,CN1CCOc2c(ccc3nsnc23)CC1,-2.14,17.817354971975238
initial,2,CCC(C)N1CN(C)c2cc3nsnc3c(C)c21,-2.99,2.589869775690721
initial,3,CCCN1CN(C)c2c1c(C)c1nsnc1c2NC,-2.69,5.550730088920966
initial,4,CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2CC,-2.48,27.198581449894185
initial,5,CCCN1CCCc2cc3nsnc3cc21,-2.55,39.65883798760587
initial,6,CCCN1CN(C)c2cc3nsnc3cc21,-2.75,8.785969832607705
initial,7,COc1cc2nsnc2c2c1OCCC2,-2.48,9.973449803285568
initial,8,COc1c(C(C)C)cc2nsnc2c1OC,-2.22,27.037885599737
initial,9,COc1cc2c(c3nsnc13)C(C)(C)CO2,-2.36,-2.520878379421308
sample,1,CCC(C)N1CN(C)c2c1cc1nsnc1c2C,-2.81,6.278773748546925
sample,2,CCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.6,6.539460462112867
sample,3,CCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,-2.85,8.845272031029216
sample,4,CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,-2.72,5.36624279335131
sample,5,CCC(C)N1CN(C)c2c1c(C)c1nsnc1c2C,-2.86,4.7026375424935765
sample,6,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,-2.72,6.97568647486086
sample,7,CCC(C)N1CCN(C)c2c1cc1nsnc1c2C,-2.55,12.01060601327357
sample,8,CCN1CN(C(C)C)c2c1c(C)c1nsnc1c2C,-2.68,6.572767937569065
sample,9,CCN1CN(CC)c2c1c(C)c1nsnc1c2C,-2.84,2.6246770904783165
sample,10,CCN1CN(C)c2c1c(C)c1nsnc1c2C,-2.73,-0.34451942699902327
sample,11,CCCN1CN(C)c2c1c(C)c1nsnc1c2C,-2.74,2.9662096749645404
sample,12,CCOC1N(C)c2cc3nsnc3c(C)c2N1CC,-3.01,1.2205865882251485
sample,13,Cc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,-2.66,1.8768276808560589
sample,14,CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,-2.69,-1.7718790774945232
