batch,Iteration,SMILES,Ered,syba_score
initial,0,CCc1c2c(c(C)c3nsnc13)CC(C)O2,-2.48,-2.611047952423398
initial,1,CCC1COc2c(c(OC)cc3nsnc23)O1,-2.49,9.086124009905959
initial,2,CCCc1c(C)cc(OC)c2nsnc12,-2.35,32.10608055370172
initial,3,CCc1c(OC)c(OC)c2nsnc2c1C,-2.28,20.973124475842166
initial,4,CCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,-2.66,17.371947838320423
initial,5,CCOCCc1c2c(c(NC)c3nsnc13)C1CCC2C1,-2.48,19.767473078549866
initial,6,COC1N(C)c2cc3nsnc3cc2N1C,-2.69,4.6686604963284655
initial,7,CCOc1cc2nsnc2c2c1OCC2,-2.42,2.6993268942071698
initial,8,CCNc1c2c(c(CC)c3nsnc13)N(C)CN2C,-2.55,8.615225820952775
initial,9,CCc1c2c(c(C)c3nsnc13)CC(C)C2,-2.44,6.921271350090605
sample,1,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65,12.340899849034884
sample,2,CCN1c2cc3nsnc3cc2N(C)C1OC,-2.74,2.461340494240049
sample,3,COC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.7,5.35519369188283
sample,4,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78,4.610081271367523
sample,5,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67,5.1958079746569705
sample,6,CCOC1N(C)c2cc3nsnc3cc2N1C,-2.88,11.892686067951184
sample,7,CCOc1c2c(cc3nsnc13)N(C)CN2C,-2.65,4.447669914469003
sample,8,CCOC1N(C)c2cc3nsnc3cc2N1CC,-2.71,7.207182729274014
sample,9,CC(C)N1CCN(C)c2ccc3nsnc3c21,-2.53,23.542502802581186
sample,10,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76,4.4550528363330635
sample,11,CCCCOC1N(C)c2cc3nsnc3cc2N1C,-2.7,19.069776275357302
sample,12,CCN1c2cc3nsnc3cc2N(CC)C1OC,-2.96,6.342594556709109
sample,13,COC1N(C(C)C)c2cc3nsnc3cc2N1C(C)C,-2.65,9.236447754351893
sample,14,COCCc1c2c(cc3nsnc13)N(C)CN2C,-2.69,10.443639552818533
sample,15,COc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.69,8.796946617320364
sample,16,COCCOC1N(C)c2cc3nsnc3cc2N1C,-2.99,17.05168821532651
sample,17,CCOCCN1CCN(C)c2cc3nsnc3c(OC)c21,-2.5,25.875011535022914
sample,18,COCCNc1c2c(cc3nsnc13)N(C)CN2C,-2.74,18.7522457633536
sample,19,CCN1CN(C)c2c1c(OC)c1nsnc1c2OC,-2.6,2.785470486775926
sample,20,COCCNc1c2c(cc3nsnc13)OC(C)CO2,-2.4,4.631880901546624
sample,21,CCOCCN1CN(CC)c2cc3nsnc3cc21,-2.79,18.443114496446565
sample,22,CCCOCCN1CN(C)c2cc3nsnc3cc21,-2.69,20.93017433151723
sample,23,CCCN1CN(CCOC)c2cc3nsnc3cc21,-2.83,21.439335500752232
sample,24,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62,28.303427562978364
sample,25,CCN1CN(CCOC)c2c1cc1nsnc1c2C,-2.83,12.2843825922119
sample,26,CCc1c2c(cc3nsnc13)N(CC)C(OC)N2C,-2.71,-1.2464394367762244
sample,27,CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74,17.00429688621153
sample,28,CCN1CCN(CCOC)c2cc3nsnc3cc21,-2.66,32.20134727338355
sample,29,CCN(CC)c1c2c(c(C)c3nsnc13)OCCO2,-2.47,16.683415145392097
sample,30,CNc1c2c(cc3nsnc13)N(C)C(OC)N2C,-2.72,1.4662095507620017
sample,31,CCCN1c2cc3nsnc3cc2N(C)C1OC,-2.73,6.294018296580327
sample,32,CCCCOCCc1cccc2nsnc12,-2.2,72.90658642809625
sample,33,CN(C)c1c2c(cc3nsnc13)C1CCC2CC1,-2.37,2.9270984765961585
sample,34,CNc1c2c(cc3nsnc13)N(C)CN2CCOC,-2.55,12.49577790106068
sample,35,CCN1CN(CC)c2c1c(C)c1nsnc1c2C,-2.84,2.6246770904783165
sample,36,CCc1c2c(c(C)c3nsnc13)N(CC)CN2CC,-2.78,4.902346010303651
sample,37,CCc1c2c(cc3nsnc13)N(CC)CN2CC,-2.74,4.464719274678724
sample,38,Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.7,4.0908204974920634
sample,39,CNc1c2c(cc3nsnc13)N(C)CN2C,-2.58,1.0166735184005735
sample,40,CCc1c2c(c(C)c3nsnc13)N(CC)CCN2C,-2.49,6.991429560582137
sample,41,COCCN1CN(C)c2c1cc1nsnc1c2C,-2.69,11.154876149625405
sample,42,C1COc2c3c(c4nsnc4c2N1)OCCO3,-2.44,-20.825987500080746
sample,43,COCCOCCc1c2c(cc3nsnc13)C1CCC2CC1,-2.44,24.851451412740296
sample,44,CCN(C)c1c(N(C)C)ccc2nsnc12,-2.4,36.548295726852935
sample,45,CCCCNc1c2c(cc3nsnc13)N(C)CN2CC,-2.74,14.978677441608314
sample,46,CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.44,23.306341815192656
sample,47,C/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CCN2C,-2.38,0.47997648279497307
sample,48,CCC(C)N1CN(C)c2c1c(C)c1nsnc1c2C,-2.86,4.7026375424935765
sample,49,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,-2.72,6.97568647486086
sample,50,CCc1c2c(c(C)c3nsnc13)N(C)CN2C(C)C,-2.75,8.153524131080465
