batch,Iteration,SMILES,Ered,syba_score
initial,0,CCCCc1c(C)c(OC)cc2nsnc12,-2.44,37.339071687860894
initial,1,CCCc1ccc2nsnc2c1OCC,-2.22,41.75495000083221
initial,2,COc1c2c(c(NCC(C)C)c3nsnc13)C1CCC2CC1,-2.4,26.170610632548083
initial,3,CCN(CC)c1ccc2nsnc2c1OC,-2.32,39.88974869175704
initial,4,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71,25.046788993185917
initial,5,CCCOCCc1c2c(cc3nsnc13)C1CCC2CC1,-2.39,15.361873247687864
initial,6,CCN1CCN(CC)c2c1cc1nsnc1c2C,-2.54,10.2171944763568
initial,7,CCNc1c2c(c(C(C)CC)c3nsnc13)C1CCC2CC1,-2.44,18.753545942400258
initial,8,CCCc1c2c(cc3nsnc13)CC(CC)O2,-2.46,9.562356338700377
initial,9,CCC1COc2c(c(OC)c3nsnc3c2OC)O1,-2.24,3.224245971943244
sample,1,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72,22.988561282073107
sample,2,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72,34.34236324029275
sample,3,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.71,14.102344532069104
sample,4,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2CC,-2.69,7.089648802510981
sample,5,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72,19.73361905780805
sample,6,CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,-2.75,18.253011526249615
sample,7,CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,-2.55,19.66499598520926
sample,8,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,-2.82,20.357793498524316
sample,9,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,-2.9,8.859291003155427
sample,10,CCc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.63,8.153524131080465
sample,11,CCN1CN(CC(C)C)c2c1cc1nsnc1c2C,-2.75,9.55125513069442
sample,12,CCN1CN(C)c2c1cc1nsnc1c2CC(C)C,-2.77,10.03449691989694
sample,13,Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,-2.76,12.514896482584582
sample,14,Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.74,8.134066615658227
sample,15,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76,4.4550528363330635
sample,16,CNc1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,-2.88,6.973204539026993
sample,17,CNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.61,12.758405789573715
sample,18,CCCc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.78,9.716527832898967
sample,19,CNc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.65,6.675340911448485
sample,20,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.78,13.405431805755175
sample,21,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61,9.667869449558617
sample,22,CCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.67,28.29659448218859
sample,23,CCCN1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.68,10.572617107688162
sample,24,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2C,-2.68,4.81360090785933
sample,25,CC(C)N1CCN(C)c2c1cc1nsnc1c2N(C)C,-2.59,14.817987471752831
sample,26,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73,19.136263888428537
sample,27,Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.78,5.138311265627708
sample,28,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71,16.007854900982785
sample,29,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.77,9.105958744595158
sample,30,CCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.6,6.539460462112867
sample,31,CCCc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.83,14.571672550434602
sample,32,CCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,-2.66,17.371947838320423
sample,33,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65,12.340899849034884
sample,34,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC,-2.79,1.3478433708612971
sample,35,CCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,-2.85,8.845272031029216
sample,36,CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,-2.72,5.36624279335131
sample,37,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,-2.72,6.97568647486086
sample,38,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74,15.644400173911112
sample,39,CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.8,5.719778602467873
sample,40,CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71,10.77084355178134
sample,41,CCCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.92,10.260015043473466
sample,42,CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.84,16.531961511784747
sample,43,CCCCN1CN(C(C)C)c2cc3nsnc3c(C)c21,-2.79,16.937428062160734
sample,44,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,-2.6,16.7984254268702
sample,45,CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,-2.72,10.286415576824423
sample,46,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77,18.600857807002615
sample,47,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85,12.14425803671425
sample,48,CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,-2.97,11.451109413888561
sample,49,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,-2.81,9.04608173299072
sample,50,CCCCN1CN(C)c2c1cc1nsnc1c2CCC,-2.74,14.754004390652165
sample,51,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78,26.00035595065466
sample,52,CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,-3.07,21.81534361331155
sample,53,CCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.73,28.692086483769
sample,54,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,-2.79,15.176436460947242
sample,55,CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.8,34.737855241873156
sample,56,CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,-2.68,18.181864624285623
sample,57,CCNc1c2c(cc3nsnc13)N(C(C)CC)CN2C,-2.82,12.690884534002116
sample,58,CCC(C)N1CN(CC)c2cc3nsnc3c(NC)c21,-2.47,9.990581967266799
sample,59,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,-2.47,23.307877821180846
sample,60,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,-2.73,11.328975600589875
sample,61,CCCOC1N(C)c2cc3nsnc3cc2N1CCC,-2.73,11.815396447224206
sample,62,CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.75,12.782568078475272
sample,63,CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.74,7.853693498250642
sample,64,CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,-2.75,16.64413826013912
sample,65,CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,-2.71,11.77496998729744
sample,66,CCCN1CN(C)c2cc3nsnc3c(OC(C)C)c21,-2.66,9.285162440070891
sample,67,CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,-2.7,14.931637549994724
