batch,Iteration,SMILES,Ered,syba_score
initial,0,CCc1ccc2nsnc2c1OC,-2.22,34.7194764462675
initial,1,C/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2C1,-2.22,-15.267836473378136
initial,2,CNc1c2c(c(N(C)CC(C)C)c3nsnc13)C1CCC2C1,-2.51,17.20833565676561
initial,3,CCOc1c(OC)c(C)c(C)c2nsnc12,-2.28,18.96026019636251
initial,4,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,-2.82,20.357793498524316
initial,5,CNc1c2c(cc3nsnc13)CC(C)N2C,-2.57,-0.924564845783167
initial,6,CCc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.55,14.181612294175443
initial,7,CCCOc1c2c(cc3nsnc13)OCC2C,-2.33,4.684454344708591
initial,8,CCOc1cc(C)c(OCC)c2nsnc12,-2.37,25.772043726084544
initial,9,CC(C)Cc1c(C(C)C)ccc2nsnc12,-2.32,42.686659968700724
sample,1,CCN1CN(C)c2c1cc1nsnc1c2CC(C)C,-2.77,10.03449691989694
sample,2,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73,19.136263888428537
sample,3,CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,-2.75,18.253011526249615
sample,4,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76,4.4550528363330635
sample,5,CC(C)CNc1c2c(cc3nsnc13)N(C)CN2C,-2.48,16.370574734726006
sample,6,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC,-2.79,1.3478433708612971
sample,7,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2CC,-2.69,7.089648802510981
sample,8,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2C,-2.68,4.81360090785933
sample,9,CCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.67,28.29659448218859
sample,10,CCCN1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.68,10.572617107688162
sample,11,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74,15.644400173911112
sample,12,CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.74,7.853693498250642
sample,13,CCOc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.77,11.199629045352566
sample,14,CCOc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.75,14.19538439538308
sample,15,CCCN1CN(C)c2cc3nsnc3c(OC(C)C)c21,-2.66,9.285162440070891
sample,16,CC(C)N1CCN(C)c2c1cc1nsnc1c2N(C)C,-2.59,14.817987471752831
sample,17,CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,-2.75,16.64413826013912
sample,18,CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,-2.7,14.931637549994724
sample,19,COC1N(C(C)C)c2cc3nsnc3cc2N1C(C)C,-2.65,9.236447754351893
sample,20,CC(C)COc1c2c(cc3nsnc13)N(C)CN2C,-2.65,14.228192147320758
sample,21,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72,22.988561282073107
sample,22,CCC(C)N1CCN(CCOC)c2cc3nsnc3cc21,-2.73,37.04990774761774
sample,23,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62,28.303427562978364
sample,24,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,-2.79,15.176436460947242
sample,25,CCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.73,28.692086483769
sample,26,CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,-2.74,12.678506477635063
sample,27,CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.8,34.737855241873156
sample,28,CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,-2.68,18.181864624285623
sample,29,CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,-3.07,21.81534361331155
sample,30,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72,19.73361905780805
sample,31,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78,26.00035595065466
sample,32,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72,34.34236324029275
sample,33,CCCOC1N(C)c2cc3nsnc3cc2N1CCC,-2.73,11.815396447224206
sample,34,CCOc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,-2.6,17.327477035654983
sample,35,CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,-2.72,10.286415576824423
sample,36,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77,18.600857807002615
sample,37,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71,25.046788993185917
sample,38,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,-2.73,11.328975600589875
sample,39,CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.75,12.782568078475272
sample,40,CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,-2.71,11.77496998729744
sample,41,CCCCOc1c2c(cc3nsnc13)N(CC)CN2C,-2.81,16.817695960210838
sample,42,CCOCCN1CN(CC)c2cc3nsnc3cc21,-2.79,18.443114496446565
sample,43,CCCCOC1N(C)c2cc3nsnc3cc2N1C,-2.7,19.069776275357302
sample,44,CCOCCN1CCN(C)c2cc3nsnc3c(CC)c21,-2.55,25.872840097674946
sample,45,CCCOCCN1CN(C)c2cc3nsnc3cc21,-2.69,20.93017433151723
sample,46,CCCCNc1c2c(cc3nsnc13)N(C)CN2CC,-2.74,14.978677441608314
sample,47,CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,-2.7,7.128414966392983
sample,48,CCCC1Oc2cc3nsnc3cc2OC1C(C)CC,-2.33,-0.33661910956710117
sample,49,CCCOC1N(CC)c2cc3nsnc3cc2N1CC,-2.77,12.678082852364167
sample,50,CCCCN1c2cc3nsnc3cc2N(CC)C1OC,-2.75,13.125288776881927
sample,51,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,-2.81,9.04608173299072
sample,52,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85,12.14425803671425
sample,53,CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,-2.97,11.451109413888561
sample,54,CCCCN1CN(C)c2c1cc1nsnc1c2CCC,-2.74,14.754004390652165
sample,55,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,-2.6,16.7984254268702
sample,56,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.71,14.102344532069104
sample,57,CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.84,16.531961511784747
sample,58,CCCCN1CN(C(C)C)c2cc3nsnc3c(C)c21,-2.79,16.937428062160734
sample,59,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65,12.340899849034884
sample,60,CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71,10.77084355178134
sample,61,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,-2.47,23.307877821180846
