batch,Iteration,SMILES,Ered,syba_score
initial,0,CCCCC1COc2ccc3nsnc3c2O1,-2.27,27.248875416555844
initial,1,COc1cc(N(C)C(C)C)cc2nsnc12,-2.47,38.2196753028023
initial,2,CCCc1c(C)c(NC)c2nsnc2c1C,-2.44,20.63767900369437
initial,3,Cc1cc2c(c3nsnc13)[NH+]=C([O-])CC2(C)C,-2.14,1.3639937365980697
initial,4,CCN1CCc2c1cc1nsnc1c2C,-2.59,10.178729471086804
initial,5,CCCCc1c2c(c(NCC)c3nsnc13)C1CCC2C1,-2.52,20.574794804846405
initial,6,CCCNc1c2c(c(NC)c3nsnc13)C1CCC2CC1,-2.49,18.101445871603676
initial,7,CCC(C)N1CCOc2cc3nsnc3cc21,-2.49,22.809380220401348
initial,8,CCc1cc2c(c3nsnc13)NCCO2,-2.39,-12.833663591816578
initial,9,COc1cc(N(C)C)c2nsnc2c1OC,-2.34,31.34610024074462
sample,1,CCN1CCc2cc3nsnc3c(C)c21,-2.55,7.598328335336795
sample,2,CCc1c2c(cc3nsnc13)N(C)C(C)C2,-2.56,-0.4789491139286697
sample,3,CCN1CN(CC)c2cc3nsnc3cc21,-2.73,9.741118008136166
sample,4,CCCN1CN(C)c2cc3nsnc3cc21,-2.75,8.785969832607705
sample,5,CCN1CN(C(C)C)c2cc3nsnc3cc21,-2.8,13.689208855226914
sample,6,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78,4.610081271367523
sample,7,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67,5.1958079746569705
sample,8,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.72,5.666956703545413
sample,9,CC(C)CN1CN(C)c2cc3nsnc3cc21,-2.8,14.169454363275399
sample,10,CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83,16.81761784267267
sample,11,CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81,12.869526995581923
sample,12,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,-2.82,20.357793498524316
sample,13,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2CC,-2.69,7.089648802510981
sample,14,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71,16.007854900982785
sample,15,CCN1CN(C)c2c1cc1nsnc1c2CC(C)C,-2.77,10.03449691989694
sample,16,CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74,17.00429688621153
sample,17,CCCN1CN(CC)c2cc3nsnc3cc21,-2.82,10.1402048239854
sample,18,CCCCN1CN(C)c2cc3nsnc3cc21,-2.74,15.650061894833833
sample,19,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76,4.4550528363330635
