batch,Iteration,SMILES,Ered,syba_score
initial,0,CCCN(C)c1c2c(c(C)c3nsnc13)OCCO2,-2.54,19.23985584259428
initial,1,Cc1c2c(cc3nsnc13)OC(C)C2C,-2.26,-5.6815574214214415
initial,2,CCC(C)Oc1cc(OC)c2nsnc2c1,-2.38,44.54802920142201
initial,3,CCOc1cc(N(C)C)c2nsnc2c1,-2.63,37.77858517463697
initial,4,CCOc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.75,14.19538439538308
initial,5,CC(C)COc1cc2nsnc2c2c1OCC2,-2.48,16.460982995560105
initial,6,CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.8,34.737855241873156
initial,7,CCC1Oc2cc3nsnc3c(C)c2OC1CC,-2.52,-9.232720417325929
initial,8,CCc1c(OC)ccc2nsnc12,-2.27,37.519630785354686
initial,9,COc1c2c(cc3nsnc13)OCCN2C,-2.38,5.003515450969602
sample,1,CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,-2.64,17.213638916663708
sample,2,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72,19.73361905780805
sample,3,CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,-2.68,18.181864624285623
sample,4,CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,-2.75,18.253011526249615
sample,5,CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,-3.07,21.81534361331155
sample,6,CCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.73,28.692086483769
sample,7,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2CC,-2.69,7.089648802510981
sample,8,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78,26.00035595065466
sample,9,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72,34.34236324029275
sample,10,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,-2.79,15.176436460947242
sample,11,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74,15.644400173911112
sample,12,CCC(C)N1CCN(CCOC)c2cc3nsnc3cc21,-2.73,37.04990774761774
sample,13,CCCN1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.68,10.572617107688162
sample,14,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77,18.600857807002615
sample,15,CCCOC1N(C)c2cc3nsnc3cc2N1CCC,-2.73,11.815396447224206
sample,16,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71,25.046788993185917
sample,17,CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,-2.72,10.286415576824423
sample,18,CCC(C)Nc1c2c(cc3nsnc13)N(CC)CN2C,-2.61,15.351203711654595
sample,19,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62,28.303427562978364
sample,20,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85,12.14425803671425
sample,21,CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,-2.97,11.451109413888561
sample,22,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,-2.81,9.04608173299072
sample,23,CCCCN1CN(C)c2c1cc1nsnc1c2CCC,-2.74,14.754004390652165
sample,24,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,-2.6,16.7984254268702
sample,25,CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.84,16.531961511784747
sample,26,CCCCN1CN(C(C)C)c2cc3nsnc3c(C)c21,-2.79,16.937428062160734
sample,27,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.71,14.102344532069104
sample,28,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65,12.340899849034884
sample,29,CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,-2.69,23.779979699936437
sample,30,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,-2.47,23.307877821180846
sample,31,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72,22.988561282073107
sample,32,CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71,10.77084355178134
sample,33,CCCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.92,10.260015043473466
sample,34,CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.8,5.719778602467873
sample,35,CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,-2.72,5.36624279335131
sample,36,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.77,9.105958744595158
sample,37,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61,9.667869449558617
sample,38,CCCN1CCN(CC)c2c1cc1nsnc1c2CC,-2.59,17.734210941832277
sample,39,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73,19.136263888428537
sample,40,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC,-2.79,1.3478433708612971
sample,41,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2C,-2.68,4.81360090785933
sample,42,CCCOC1N(CC)c2cc3nsnc3cc2N1CC,-2.77,12.678082852364167
sample,43,CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,-2.71,11.77496998729744
sample,44,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,-2.73,11.328975600589875
sample,45,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,-2.72,6.97568647486086
sample,46,CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,-2.74,12.678506477635063
sample,47,CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.75,12.782568078475272
sample,48,CCCCN1c2cc3nsnc3cc2N(CC)C1OC,-2.75,13.125288776881927
sample,49,CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,-2.75,16.64413826013912
sample,50,CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,-2.7,14.931637549994724
sample,51,CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,-2.7,7.128414966392983
sample,52,CCOc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,-2.6,17.327477035654983
sample,53,CCN1c2cc3nsnc3cc2N(CC(C)C)C1OC,-2.89,11.979196748796923
