batch,Iteration,SMILES,Ered,syba_score
initial,0,CNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.64,10.291295877460902
initial,1,CCN1CN(CC)c2c1cc1nsnc1c2NC,-2.64,6.522560166111923
initial,2,CCCCOc1cc(CC)c2nsnc2c1,-2.33,51.948859644375695
initial,3,CCCC1Oc2cc3nsnc3c(C)c2OC1CC,-2.29,-12.60612424262569
initial,4,COC1N(C(C)C)c2cc3nsnc3cc2N1C(C)C,-2.65,9.236447754351893
initial,5,CCN1c2cc3nsnc3cc2CC1C,-2.53,11.664898287092777
initial,6,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61,9.667869449558617
initial,7,CC/[N+](=C(/C)[O-])c1c2c(c(C)c3nsnc13)C1CCC2CC1,-2.26,8.550455798316985
initial,8,CCNc1cc2c(c3nsnc13)C(CC)CO2,-2.48,4.345243602373737
initial,9,CCCNc1c2c(cc3nsnc13)N(C)CN2C,-2.6,13.075827721325002
sample,1,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76,4.4550528363330635
sample,2,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78,4.610081271367523
sample,3,CC(C)N1CCN(C)c2c1cc1nsnc1c2N(C)C,-2.59,14.817987471752831
sample,4,COCCc1c2c(cc3nsnc13)N(C)CN2C,-2.69,10.443639552818533
sample,5,COC1N(C)c2cc3nsnc3cc2N1C,-2.69,4.6686604963284655
sample,6,CCN1CN(C)c2c1c(OC)c1nsnc1c2OC,-2.6,2.785470486775926
sample,7,CCOC1N(C)c2cc3nsnc3cc2N1C,-2.88,11.892686067951184
sample,8,CCOc1c2c(cc3nsnc13)N(C)CN2C,-2.65,4.447669914469003
sample,9,CCN1c2cc3nsnc3cc2N(CC)C1OC,-2.96,6.342594556709109
sample,10,CCCN1c2cc3nsnc3cc2N(C)C1OC,-2.73,6.294018296580327
sample,11,CCOC1N(C)c2cc3nsnc3cc2N1CC,-2.71,7.207182729274014
sample,12,CCN1c2cc3nsnc3c(C)c2N(C)C1OC,-2.63,-4.506086342084203
sample,13,CCCCOC1N(C)c2cc3nsnc3cc2N1C,-2.7,19.069776275357302
sample,14,COCCOC1N(C)c2cc3nsnc3cc2N1C,-2.99,17.05168821532651
sample,15,COCCNc1c2c(cc3nsnc13)N(C)CN2C,-2.74,18.7522457633536
sample,16,CCOCCN1CCN(C)c2cc3nsnc3c(OC)c21,-2.5,25.875011535022914
sample,17,COCCNc1c2c(cc3nsnc13)OC(C)CO2,-2.4,4.631880901546624
sample,18,CN1CCc2c3c(c4nsnc4c21)OCCO3,-2.41,-1.802221608306351
sample,19,CCN(C)c1c(N(C)C)ccc2nsnc12,-2.4,36.548295726852935
sample,20,CNc1c2c(cc3nsnc13)N(C)C(OC)N2C,-2.72,1.4662095507620017
sample,21,COc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.69,8.796946617320364
sample,22,CCCOCCN1CN(C)c2cc3nsnc3cc21,-2.69,20.93017433151723
sample,23,CCOCCN1CN(CC)c2cc3nsnc3cc21,-2.79,18.443114496446565
sample,24,CCCN1CN(CCOC)c2cc3nsnc3cc21,-2.83,21.439335500752232
sample,25,CCN1CCN(CCOC)c2cc3nsnc3cc21,-2.66,32.20134727338355
sample,26,CNc1c2c(cc3nsnc13)N(CCOC)CN2C,-2.8,15.779215323540896
sample,27,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62,28.303427562978364
sample,28,CCN1CN(C)c2c1c(NC)c1nsnc1c2OC,-2.76,4.676842277906662
sample,29,CCOC1N(C)c2cc3nsnc3c(NC)c2N1C,-2.71,8.690235122384722
sample,30,CCNc1c2c(c(NC)c3nsnc13)N(C)CCN2C,-2.52,6.521295581203876
sample,31,CCCCNc1c2c(cc3nsnc13)N(C)CN2CC,-2.74,14.978677441608314
sample,32,CNc1c2c(cc3nsnc13)N(C)CN2CCOC,-2.55,12.49577790106068
sample,33,CCN1c2cc3nsnc3cc2N(C)C1OC,-2.74,2.461340494240049
sample,34,CCCCN1c2cc3nsnc3cc2N(C)C1OC,-2.75,12.351239430364465
sample,35,COC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.7,5.35519369188283
sample,36,CCN1c2cc3nsnc3c(NC)c2N(C)C1OC,-2.63,0.8114014546569737
sample,37,CCN1CN(C)c2c1cc1nsnc1c2OC(C)C,-2.68,8.747042252279666
sample,38,CCN1CN(CCOC)c2c1cc1nsnc1c2C,-2.83,12.2843825922119
sample,39,COCCN1CN(C)c2c1cc1nsnc1c2C,-2.69,11.154876149625405
sample,40,CCCc1c2c(c(OC)c3nsnc13)N(C)CN2C,-2.67,10.47103645253904
sample,41,CCCOC1N(CC)c2cc3nsnc3cc2N1CC,-2.77,12.678082852364167
sample,42,CCCOC1N(C)c2cc3nsnc3cc2N1CC,-2.7,8.103680167069419
sample,43,CCCCOc1c2c(cc3nsnc13)N(CC)CN2C,-2.81,16.817695960210838
sample,44,CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.44,23.306341815192656
sample,45,CCOc1c2c(c(NC)c3nsnc13)N(C)CN2C,-2.58,9.838108160325948
sample,46,CCCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.77,14.884354217388958
sample,47,CCCCN1CN(CC)c2c1cc1nsnc1c2NC,-2.71,15.395182725696833
sample,48,CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74,17.00429688621153
sample,49,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77,18.600857807002615
sample,50,CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81,12.869526995581923
sample,51,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71,25.046788993185917
sample,52,CCCN1CN(CC)c2cc3nsnc3cc21,-2.82,10.1402048239854
sample,53,CCCCN1CN(C)c2cc3nsnc3cc21,-2.74,15.650061894833833
sample,54,CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83,16.81761784267267
sample,55,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71,16.007854900982785
sample,56,CCc1c2c(cc3nsnc13)N(CC)CN2CC,-2.74,4.464719274678724
sample,57,CCCN1CCN(C)c2c1ccc1nsnc21,-2.44,23.700077703227045
sample,58,CCNc1c2c(cc3nsnc13)N(CC)CN2CC,-2.99,8.310331777651623
sample,59,CCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.74,8.713410777988516
sample,60,CCCN1CN(CC)c2c1cc1nsnc1c2NC,-2.69,8.531090663470705
sample,61,CCCNc1c2c(cc3nsnc13)N(CC)CN2C,-2.8,14.520631760621631
sample,62,CCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.63,9.162692870445722
sample,63,CCCN1CN(C)c2cc3nsnc3c(NCC)c21,-2.67,6.572404070791196
sample,64,CCCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.85,16.02678493267185
sample,65,CCCNc1c2c(cc3nsnc13)N(CCC)CN2C,-2.71,16.834930603056197
