batch,Iteration,SMILES,Ered,syba_score
initial,0,CCN(C)c1c(OC)cc(C)c2nsnc12,-2.3,31.886483739030755
initial,1,CCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.63,9.162692870445722
initial,2,CCCCN1CN(C(C)C)c2cc3nsnc3c(C)c21,-2.79,16.937428062160734
initial,3,Cc1c2c(cc3nsnc13)C1CCC2C1,-2.43,-11.38552025067968
initial,4,CCCCOc1cc(CC)c2nsnc2c1,-2.33,51.948859644375695
initial,5,CN(C)c1cc2c(c3nsnc13)CCC2,-2.39,20.791950372461336
initial,6,CCc1c2c(cc3nsnc13)CCCO2,-2.35,6.887600068285819
initial,7,CCc1c(OC)c(C)cc2nsnc12,-2.3,27.05189966041234
initial,8,CCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.67,13.739284641029192
initial,9,CCCOc1c2c(cc3nsnc13)N(CC)CCN2C,-2.51,18.21350482674617
sample,1,CCC(C)N1CCN(C(C)C)c2cc3nsnc3c(C)c21,-2.52,15.690695763718722
sample,2,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.71,14.102344532069104
sample,3,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65,12.340899849034884
sample,4,CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.84,16.531961511784747
sample,5,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85,12.14425803671425
sample,6,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,-2.81,9.04608173299072
sample,7,CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,-2.97,11.451109413888561
sample,8,CCCCN1CN(C)c2c1cc1nsnc1c2CCC,-2.74,14.754004390652165
sample,9,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72,19.73361905780805
sample,10,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,-2.6,16.7984254268702
sample,11,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78,26.00035595065466
sample,12,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72,34.34236324029275
sample,13,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77,18.600857807002615
sample,14,CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71,10.77084355178134
sample,15,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72,22.988561282073107
sample,16,CCCN1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.68,10.572617107688162
sample,17,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71,25.046788993185917
sample,18,CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,-3.07,21.81534361331155
sample,19,CCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.73,28.692086483769
sample,20,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2CC,-2.69,7.089648802510981
sample,21,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74,15.644400173911112
