batch,Iteration,SMILES,Ered,syba_score
initial,0,CNc1cccc2nsnc12,-2.34,46.1811086603014
initial,1,COc1cc2c(c3nsnc13)CCCO2,-2.39,14.219892464010362
initial,2,CCN(c1c2c(cc3nsnc13)C1CCC2CC1)C(C)C,-2.42,10.85467701008741
initial,3,Cc1c(N(C)C)cc2nsnc2c1N(C)C,-2.42,23.3946733105011
initial,4,COc1c2c(c(NCC(C)C)c3nsnc13)C1CCC2CC1,-2.4,26.170610632548083
initial,5,CCCN1CCOc2c1ccc1nsnc21,-2.41,28.49081145666148
initial,6,CCc1c(C)cc(OC)c2nsnc12,-2.35,28.02598982491164
initial,7,Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,-2.58,22.06089743377223
initial,8,Cc1c2c(c(OCCN(C)C)c3nsnc13)C1CCC2C1,-2.39,10.821132299438078
initial,9,Cc1cc2c(c3nsnc13)CC(C)CO2,-2.38,-1.6349174551457748
sample,1,CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.56,16.87633799915504
sample,2,CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,-2.47,18.869931243903828
sample,3,CCc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.55,14.181612294175443
sample,4,Cc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.7,12.524805002909677
sample,5,Cc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.77,10.52322792075577
sample,6,CCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.65,14.597965592355498
sample,7,Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.74,8.134066615658227
sample,8,Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.78,5.138311265627708
sample,9,CCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.6,6.539460462112867
sample,10,CC(C)CN1CCN(C)c2cc3nsnc3cc21,-2.7,33.90550172838994
sample,11,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71,16.007854900982785
sample,12,CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83,16.81761784267267
sample,13,CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81,12.869526995581923
sample,14,CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74,17.00429688621153
sample,15,CCCCN1CN(C)c2cc3nsnc3cc21,-2.74,15.650061894833833
sample,16,CC(C)CN1CN(C)c2cc3nsnc3cc21,-2.8,14.169454363275399
sample,17,CCN1CN(C(C)C)c2cc3nsnc3cc21,-2.8,13.689208855226914
sample,18,CCCN1CN(CC)c2cc3nsnc3cc21,-2.82,10.1402048239854
sample,19,CCCN1CCN(C)c2cc3nsnc3cc21,-2.7,31.786063863367463
sample,20,CCCc1c2c(cc3nsnc13)N(C)CN2C,-2.72,4.823958069520527
sample,21,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78,4.610081271367523
sample,22,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76,4.4550528363330635
sample,23,COCCc1c2c(cc3nsnc13)N(C)CN2C,-2.69,10.443639552818533
sample,24,CC(C)Nc1c2c(cc3nsnc13)N(C)CN2C,-2.83,10.5094458879695
sample,25,CNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.64,10.291295877460902
