batch,Iteration,SMILES,Ered,syba_score
initial,0,CCCOc1c2c(cc3nsnc13)C1CCC2CC1,-2.42,11.508065285053096
initial,1,CCCc1c(C)c(NC)c2nsnc2c1C,-2.44,20.63767900369437
initial,2,CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,-2.69,23.779979699936437
initial,3,CCCNc1cc(OCC)cc2nsnc12,-2.48,49.47170073081471
initial,4,CCC(C)Oc1cc(OC)cc2nsnc12,-2.29,42.935121168584246
initial,5,CCCCN(CC)c1c2c(cc3nsnc13)C1CCC2C1,-2.45,9.402910562421528
initial,6,CCOc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.7,9.340239677847443
initial,7,CCCc1c2c(cc3nsnc13)N(CC)CN2C,-2.77,5.575613485991468
initial,8,CCN(c1ccc2nsnc2c1C)C(C)C,-2.34,40.79662334915283
initial,9,CCN1CN(CC)c2c1cc1nsnc1c2NC,-2.64,6.522560166111923
sample,1,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.77,9.105958744595158
sample,2,Cc1c2c(cc3nsnc13)N(C)CN2CCN(C)C,-2.64,0.999531318359572
sample,3,CCCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.92,10.260015043473466
sample,4,CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71,10.77084355178134
sample,5,CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.8,5.719778602467873
sample,6,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61,9.667869449558617
sample,7,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,-2.81,9.04608173299072
sample,8,CCCCN1CN(C)c2c1cc1nsnc1c2CCC,-2.74,14.754004390652165
sample,9,CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,-2.97,11.451109413888561
sample,10,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85,12.14425803671425
sample,11,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,-2.6,16.7984254268702
sample,12,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72,19.73361905780805
sample,13,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.71,14.102344532069104
sample,14,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77,18.600857807002615
sample,15,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71,25.046788993185917
sample,16,CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.84,16.531961511784747
sample,17,CCCCN1CN(C(C)C)c2cc3nsnc3c(C)c21,-2.79,16.937428062160734
sample,18,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65,12.340899849034884
