batch,Iteration,SMILES,Ered,syba_score
initial,0,CCCOc1cc(N(C)C)c2nsnc2c1,-2.49,43.281596358277405
initial,1,CCCCN1CN(C)c2c1cc1nsnc1c2NC,-2.76,14.239013321132148
initial,2,CNc1c(N(C)C)c(C)cc2nsnc12,-2.37,27.82606117165418
initial,3,CC(C)CN1CCN(C)c2cc3nsnc3cc21,-2.7,33.90550172838994
initial,4,CC(C)OCCNc1c2c(cc3nsnc13)OCCO2,-2.39,40.80566846719987
initial,5,CCN1CN(C)c2c1c(OC)c1nsnc1c2OC,-2.6,2.785470486775926
initial,6,COCCNc1c2c(cc3nsnc13)N(C)CCN2C,-2.69,27.12767211701616
initial,7,CCCOc1c2c(c(C)c3nsnc13)C1CCC2CC1,-2.31,15.491864296606758
initial,8,Cc1cc2c(c3nsnc13)CC(C)CO2,-2.38,-1.6349174551457748
initial,9,CCOc1cc2nsnc2c(OCC)c1C,-2.37,28.822835959827056
sample,1,CCCN1CCN(C)c2c1cc1nsnc1c2NC,-2.62,18.916164201252556
sample,2,CCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.63,9.162692870445722
sample,3,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67,5.1958079746569705
sample,4,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76,4.4550528363330635
sample,5,CC(C)N1CCN(C)c2c1cc1nsnc1c2N(C)C,-2.59,14.817987471752831
sample,6,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78,4.610081271367523
sample,7,COCCc1c2c(cc3nsnc13)N(C)CN2C,-2.69,10.443639552818533
sample,8,CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83,16.81761784267267
sample,9,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71,16.007854900982785
sample,10,CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74,17.00429688621153
sample,11,CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81,12.869526995581923
sample,12,CCc1c2c(cc3nsnc13)N(CC)CN2CC,-2.74,4.464719274678724
sample,13,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72,22.988561282073107
sample,14,CCCCN1CN(C)c2c1cc1nsnc1c2C,-2.66,9.614674147216657
sample,15,CCCN1CN(CC)c2cc3nsnc3cc21,-2.82,10.1402048239854
sample,16,CCCCN1CN(C)c2cc3nsnc3cc21,-2.74,15.650061894833833
sample,17,CCN1CN(C(C)C)c2cc3nsnc3cc21,-2.8,13.689208855226914
sample,18,CC(C)CN1CN(C)c2cc3nsnc3cc21,-2.8,14.169454363275399
sample,19,CCCN1CCN(C)c2c1ccc1nsnc21,-2.44,23.700077703227045
sample,20,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC,-2.79,1.3478433708612971
