batch,Iteration,SMILES,Ered,syba_score
initial,0,CCCCOc1ccc2nsnc2c1C,-2.28,57.93815262696689
initial,1,CCC(C)Oc1c(C)c(C)cc2nsnc12,-2.31,32.99997095209648
initial,2,CCCCN(c1cccc2nsnc12)C(C)C,-2.26,58.415828452852246
initial,3,CCN1CN(C)c2c1cc1nsnc1c2NCC(C)C,-2.76,18.29954432035232
initial,4,Cc1c2c(c(C)c3nsnc13)OC(C(C)C)CO2,-2.45,0.9940440589445583
initial,5,CN1CCOc2c3c(c4nsnc4c21)CCO3,-2.47,-16.179739050130262
initial,6,CCC1COc2c(c(NC)c3nsnc3c2C)O1,-2.48,3.0942717235401584
initial,7,CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,-2.67,25.945075062116807
initial,8,CC1CCc2c(c3c(c4nsnc24)NCC3)O1,-2.46,-26.49303113451174
initial,9,CCCCOc1c2c(cc3nsnc13)C1CCC2CC1,-2.33,17.612896502028224
sample,1,CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,-2.5,21.996287012235914
sample,2,CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.61,20.72195050212793
sample,3,CCNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.75,11.341438974586902
sample,4,CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.73,12.951571247568054
sample,5,CC(C)CNc1c2c(cc3nsnc13)N(C)CN2C,-2.48,16.370574734726006
sample,6,CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.63,16.867693628474946
sample,7,CCN1CN(CC(C)C)c2cc3nsnc3c(NC)c21,-2.76,14.398740740468085
sample,8,CCN1CN(CC(C)C)c2c1cc1nsnc1c2NC,-2.61,13.482445681784228
sample,9,CCCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.63,22.35045008038533
sample,10,CCNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.66,15.030342947443103
sample,11,CCCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,-2.77,15.390823796675786
