SMILES,Ered_ag,syba_score
CCC1Oc2c(cc3nsnc3c2N(C)C)OC1C,-2.41,-5.547924109638558
CCN(CC)c1c2c(cc3nsnc13)OCC(C)O2,-2.3200000000000003,-3.5762254994841562
CCNc1c2c(cc3nsnc13)OC(C)C(C)O2,-2.54,2.695012362732505
Cc1c2c(c(OC(C)C)c3nsnc13)OC(C)CO2,-2.3200000000000003,-8.186193186824543
CCC1Oc2c(cc3nsnc3c2C)OC1C(C)C,-2.52,-10.475796100952449
CCNc1c2c(c(CC)c3nsnc13)OC(C)CO2,-2.54,-3.287758240386516
CCC1Oc2cc3nsnc3c(C)c2OC1C(C)C,-2.43,-9.679513725363455
CCCC1Oc2c(cc3nsnc3c2NC)OC1C,-2.5700000000000003,-5.4852889190273375
CNc1c2c(c(C)c3nsnc13)OC(C)C(C)O2,-2.41,0.7414248648158459
CCNc1c2c(c(C)c3nsnc13)OC(CC)CO2,-2.48,8.976399435442453
CCNc1c2c(cc3nsnc13)OC(CC)CO2,-2.45,5.9659996953310985
CCNc1c2c(c(C)c3nsnc13)OC(C)CO2,-2.4000000000000004,-5.161106457771137
CCNc1c2c(cc3nsnc13)OC(C)C(CC)O2,-2.35,-3.836039425556416
CCCNc1c2c(cc3nsnc13)OC(C)CO2,-2.39,-1.0445371404819783
CCNc1c2c(cc3nsnc13)OC(C)CO2,-2.6,-8.837736395277949
CCC1Oc2cc3nsnc3c(NC)c2OC1C,-2.41,-7.1682192649292436
CC(C)Oc1c2c(cc3nsnc13)OCC(C)O2,-2.33,-4.788190089150505
CNc1c2c(cc3nsnc13)OC(C)C(C)O2,-2.3600000000000003,-2.2640912082216365
CNc1c2c(c(C)c3nsnc13)OC(C(C)C)CO2,-2.4000000000000004,6.286623327612203
CCNc1c2c(cc3nsnc13)OC(C(C)C)CO2,-2.43,11.749551015435339
CCNc1c2c(cc3nsnc13)OCC(C(C)C)O2,-2.42,15.137512170772194
CCNc1c2c(c(C)c3nsnc13)OCC(C)O2,-2.47,-7.869165312482362
CCCNc1c2c(cc3nsnc13)OCC(CC)O2,-2.49,19.562768789242604
CCC1Oc2c(cc3nsnc3c2C)OC1C,-2.26,-11.922133855947346
CCCNc1c2c(cc3nsnc13)OCC(C)O2,-2.53,4.444419220162245
CNc1c2c(cc3nsnc13)OC(C(C)C)CO2,-2.43,6.790447444481198
